seed,model,noise_type,level,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
45,resnet50,blur,0.0,0.695,0.6271186440677966,0.6347607052896725,0.8017817371937639,0.6643435,0.5739796
45,resnet50,blur,1.0,0.6266666666666667,0.5944444444444444,0.5687645687645687,0.7153284671532847,0.48248193,0.4378064
45,resnet50,blur,2.0,0.5566666666666666,0.4240506329113924,0.5148514851485149,0.6791666666666667,0.5396837,0.4935405
45,resnet50,blur,4.0,0.4633333333333333,0.026905829596412557,0.49221183800623053,0.5975609756097561,0.6736899,0.6367265
45,resnet50,blur,8.0,0.415,0.01951219512195122,0.3712121212121212,0.5417236662106704,0.7608539,0.79235
45,resnet50,mask_random,0.0,0.695,0.6271186440677966,0.6347607052896725,0.8017817371937639,0.6643435,0.5739796
45,resnet50,mask_random,0.25,0.33166666666666667,0.0,0.0,0.4981226533166458,0.76606375,0.83461815
45,resnet50,mask_random,0.5,0.3333333333333333,0.0,0.0,0.5,0.99978125,0.9998202
45,resnet50,mask_random,0.75,0.3333333333333333,0.0,0.0,0.5,0.99264544,0.9965422
45,resnet50,mask_centre,0.0,0.695,0.6271186440677966,0.6347607052896725,0.8017817371937639,0.6643435,0.5739796
45,resnet50,mask_centre,0.3,0.43333333333333335,0.06763285024154589,0.38405797101449274,0.5578800557880056,0.6863833,0.53814304
45,resnet50,mask_centre,0.5,0.3333333333333333,0.0,0.0,0.5,0.8624742,0.8197887
45,resnet50,mask_centre,0.7,0.3333333333333333,0.0,0.0,0.5,0.92777556,0.9245926
45,resnet50,mask_edge,1.0,0.695,0.6271186440677966,0.6347607052896725,0.8017817371937639,0.6643435,0.5739796
45,resnet50,mask_edge,0.7,0.3333333333333333,0.0,0.0,0.5,0.88818544,0.84048706
45,resnet50,mask_edge,0.5,0.3333333333333333,0.0,0.0,0.5,0.94653016,0.94354177
45,resnet50,mask_edge,0.3,0.3333333333333333,0.0,0.0,0.5,0.97832847,0.978566
45,vit_small_patch16_224,blur,0.0,0.6833333333333333,0.6284153005464481,0.6124401913875598,0.8028846153846154,0.68630624,0.59886956
45,vit_small_patch16_224,blur,1.0,0.64,0.6304347826086957,0.4485981308411215,0.7971360381861575,0.69219965,0.6006219
45,vit_small_patch16_224,blur,2.0,0.5583333333333333,0.5912162162162162,0.1145374449339207,0.7716535433070866,0.6831419,0.6364623
45,vit_small_patch16_224,blur,4.0,0.49333333333333335,0.5579119086460033,0.26714801444043323,0.567741935483871,0.5012665,0.49571332
45,vit_small_patch16_224,blur,8.0,0.4083333333333333,0.45012787723785164,0.5155993431855501,0.0,0.5081584,0.48704594
45,vit_small_patch16_224,mask_random,0.0,0.6833333333333333,0.6284153005464481,0.6124401913875598,0.8028846153846154,0.68630624,0.59886956
45,vit_small_patch16_224,mask_random,0.25,0.3333333333333333,0.5,0.0,0.0,0.86585045,0.8561085
45,vit_small_patch16_224,mask_random,0.5,0.3333333333333333,0.5,0.0,0.0,0.7336801,0.7527461
45,vit_small_patch16_224,mask_random,0.75,0.325,0.4954128440366973,0.05063291139240506,0.0,0.56807417,0.5558335
45,vit_small_patch16_224,mask_centre,0.0,0.6833333333333333,0.6284153005464481,0.6124401913875598,0.8028846153846154,0.68630624,0.59886956
45,vit_small_patch16_224,mask_centre,0.3,0.6683333333333333,0.5850746268656717,0.6223277909738717,0.7747747747747747,0.6871708,0.5925447
45,vit_small_patch16_224,mask_centre,0.5,0.6483333333333333,0.5859154929577465,0.5871559633027523,0.7677261613691931,0.6158103,0.5490351
45,vit_small_patch16_224,mask_centre,0.7,0.6383333333333333,0.5394736842105263,0.5885167464114832,0.7447698744769874,0.64231974,0.5623741
45,vit_small_patch16_224,mask_edge,1.0,0.6833333333333333,0.6284153005464481,0.6124401913875598,0.8028846153846154,0.68630624,0.59886956
45,vit_small_patch16_224,mask_edge,0.7,0.6416666666666667,0.4859154929577465,0.622680412371134,0.765661252900232,0.6430992,0.5822327
45,vit_small_patch16_224,mask_edge,0.5,0.5366666666666666,0.09523809523809523,0.5826513911620295,0.7071240105540897,0.612493,0.575076
45,vit_small_patch16_224,mask_edge,0.3,0.33666666666666667,0.0,0.49873417721518987,0.047619047619047616,0.66685265,0.64342743
