seed,model,mask_type,area_frac,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
44,resnet50,centre,0.6,0.3333333333333333,0.0,0.5,0.0,0.7255536,0.7205159
44,resnet50,centre,0.7,0.3333333333333333,0.0,0.5,0.0,0.73350173,0.73361635
44,resnet50,edge,0.0,0.6883333333333334,0.6469002695417789,0.5994694960212201,0.7964601769911505,0.68474275,0.57695156
44,resnet50,edge,0.05,0.6833333333333333,0.6451612903225806,0.5857519788918206,0.7973273942093542,0.6743911,0.55959487
44,resnet50,edge,0.1,0.6916666666666667,0.6538461538461539,0.6157760814249363,0.7900677200902935,0.65706044,0.55263716
44,resnet50,edge,0.15,0.69,0.6558265582655827,0.6130653266331658,0.789838337182448,0.63917226,0.53917754
44,resnet50,edge,0.2,0.67,0.6527415143603134,0.576530612244898,0.7717647058823529,0.63583404,0.527608
44,resnet50,edge,0.3,0.67,0.6502732240437158,0.6186046511627907,0.7425742574257426,0.5179643,0.45428252
44,resnet50,edge,0.4,0.5833333333333334,0.2928870292887029,0.5891181988742964,0.7383177570093458,0.49073252,0.44491595
44,resnet50,edge,0.5,0.3416666666666667,0.0,0.046948356807511735,0.5082592121982211,0.6784504,0.5564591
44,resnet50,edge,0.6,0.37666666666666665,0.0,0.18571428571428572,0.5555555555555556,0.5766044,0.5289838
44,resnet50,edge,0.7,0.3333333333333333,0.0,0.5006257822277848,0.0,0.561546,0.5576506
44,vit_small_patch16_224,centre,0.0,0.7116666666666667,0.6411764705882353,0.6437346437346437,0.82560706401766,0.80336386,0.69967556
44,vit_small_patch16_224,centre,0.05,0.7066666666666667,0.6554621848739496,0.6288659793814433,0.8131868131868132,0.7870657,0.67148244
44,vit_small_patch16_224,centre,0.1,0.69,0.6432432432432432,0.5963060686015831,0.8070953436807096,0.7520148,0.62370956
44,vit_small_patch16_224,centre,0.15,0.695,0.654639175257732,0.5901639344262295,0.8161434977578476,0.72606426,0.6146354
44,vit_small_patch16_224,centre,0.2,0.6916666666666667,0.6376021798365122,0.6005221932114883,0.8133333333333334,0.7225633,0.61453456
44,vit_small_patch16_224,centre,0.3,0.6883333333333334,0.6564885496183206,0.5808219178082191,0.8054298642533937,0.6875529,0.5989055
44,vit_small_patch16_224,centre,0.4,0.6783333333333333,0.6327077747989276,0.59,0.8009367681498829,0.64438623,0.57729274
44,vit_small_patch16_224,centre,0.5,0.66,0.6310432569974554,0.546875,0.789598108747045,0.6428468,0.5641416
44,vit_small_patch16_224,centre,0.6,0.6333333333333333,0.5976331360946746,0.5925925925925926,0.7180851063829787,0.6025596,0.5502468
44,vit_small_patch16_224,centre,0.7,0.585,0.5755813953488372,0.5687022900763359,0.6204819277108434,0.5828481,0.52651596
44,vit_small_patch16_224,edge,0.0,0.7116666666666667,0.6411764705882353,0.6437346437346437,0.82560706401766,0.80336386,0.69967556
