seed,model,mask_type,area_frac,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
43,resnet50,centre,0.4,0.3333333333333333,0.0,0.5,0.0,0.99451536,0.9945129
43,resnet50,centre,0.5,0.3333333333333333,0.0,0.5,0.0,0.99866897,0.9985878
43,resnet50,centre,0.6,0.3333333333333333,0.0,0.5,0.0,0.9999567,0.9999575
43,resnet50,centre,0.7,0.3333333333333333,0.0,0.5,0.0,0.9999957,0.9999957
43,resnet50,edge,0.0,0.6833333333333333,0.644808743169399,0.5817174515235457,0.7906976744186046,0.6556378,0.5623107
43,resnet50,edge,0.05,0.6916666666666667,0.6404494382022472,0.6063829787234043,0.7991452991452992,0.6354307,0.558088
43,resnet50,edge,0.1,0.6933333333333334,0.6309859154929578,0.612565445026178,0.8077753779697624,0.6224393,0.5486818
43,resnet50,edge,0.15,0.695,0.6338797814207651,0.612565445026178,0.8141592920353983,0.60587615,0.534454
43,resnet50,edge,0.2,0.6916666666666667,0.6419098143236074,0.5895316804407713,0.8130434782608695,0.5937054,0.52345896
43,resnet50,edge,0.3,0.36333333333333334,0.24096385542168675,0.5006657789613849,0.0,0.5314792,0.51932687
43,resnet50,edge,0.4,0.3333333333333333,0.5,0.0,0.0,0.6515634,0.6477481
43,resnet50,edge,0.5,0.33166666666666667,0.4981226533166458,0.0,0.0,0.7061392,0.69882727
43,resnet50,edge,0.6,0.3333333333333333,0.0,0.5,0.0,0.7149475,0.71238554
43,resnet50,edge,0.7,0.33166666666666667,0.49874686716791977,0.0,0.0,0.61525077,0.6225874
43,vit_small_patch16_224,centre,0.0,0.6783333333333333,0.6103542234332425,0.595,0.812933025404157,0.7212868,0.61247444
43,vit_small_patch16_224,centre,0.05,0.6716666666666666,0.6027397260273972,0.5876543209876544,0.8093023255813954,0.6900182,0.5860168
43,vit_small_patch16_224,centre,0.1,0.6766666666666666,0.5798816568047337,0.617169373549884,0.8120649651972158,0.7031256,0.6059383
43,vit_small_patch16_224,centre,0.15,0.68,0.5818181818181818,0.6186046511627907,0.8136363636363636,0.6901056,0.60562414
43,vit_small_patch16_224,centre,0.2,0.6733333333333333,0.5723076923076923,0.6167800453514739,0.8064516129032258,0.69963324,0.61077315
43,vit_small_patch16_224,centre,0.3,0.6533333333333333,0.5555555555555556,0.5898617511520737,0.7873303167420814,0.6923376,0.5997182
43,vit_small_patch16_224,centre,0.4,0.6383333333333333,0.5286624203821656,0.5877192982456141,0.772093023255814,0.6588561,0.58204734
43,vit_small_patch16_224,centre,0.5,0.635,0.5538461538461539,0.5739910313901345,0.7599067599067599,0.66030437,0.5800459
43,vit_small_patch16_224,centre,0.6,0.6083333333333333,0.4745762711864407,0.5858585858585859,0.7317073170731707,0.598667,0.54455465
43,vit_small_patch16_224,centre,0.7,0.61,0.4966442953020134,0.5836734693877551,0.7233009708737864,0.56916785,0.51941943
43,vit_small_patch16_224,edge,0.0,0.6783333333333333,0.6103542234332425,0.595,0.812933025404157,0.7212868,0.61247444
43,vit_small_patch16_224,edge,0.05,0.6583333333333333,0.5194805194805194,0.6117136659436009,0.8074245939675174,0.7055803,0.6039023
43,vit_small_patch16_224,edge,0.1,0.6583333333333333,0.49836065573770494,0.6157205240174672,0.8146453089244852,0.70275444,0.6021833
43,vit_small_patch16_224,edge,0.15,0.6666666666666666,0.544891640866873,0.6100917431192661,0.8117913832199547,0.7059138,0.6099518
43,vit_small_patch16_224,edge,0.2,0.675,0.5548780487804879,0.6206896551724138,0.8192219679633868,0.7066679,0.6158283
43,vit_small_patch16_224,edge,0.3,0.6766666666666666,0.5740181268882175,0.6164383561643836,0.8167053364269141,0.7058039,0.6146613
43,vit_small_patch16_224,edge,0.4,0.6633333333333333,0.5408805031446541,0.6116071428571429,0.8064516129032258,0.7009864,0.60602385
43,vit_small_patch16_224,edge,0.5,0.67,0.5538461538461539,0.6108597285067874,0.8175519630484989,0.6950834,0.6020893
43,vit_small_patch16_224,edge,0.6,0.6466666666666666,0.46621621621621623,0.6103896103896104,0.8054298642533937,0.66095936,0.5797738
43,vit_small_patch16_224,edge,0.7,0.6333333333333333,0.4794520547945205,0.6125760649087221,0.7662650602409639,0.6714575,0.589868
44,resnet50,centre,0.0,0.6883333333333334,0.6469002695417789,0.5994694960212201,0.7964601769911505,0.68474275,0.57695156
44,resnet50,centre,0.05,0.65,0.519298245614035,0.6097560975609756,0.7564356435643564,0.6090188,0.5189766
44,resnet50,centre,0.1,0.555,0.0,0.5799256505576208,0.7662337662337663,0.57439524,0.5025524
44,resnet50,centre,0.15,0.5366666666666666,0.0,0.5709401709401709,0.7469879518072289,0.5435655,0.5060248
44,resnet50,centre,0.2,0.5366666666666666,0.0,0.5590994371482176,0.7408993576017131,0.55219537,0.52084726
44,resnet50,centre,0.3,0.3416666666666667,0.0,0.5012658227848101,0.06666666666666667,0.58571744,0.56805944
44,resnet50,centre,0.4,0.3333333333333333,0.0,0.5,0.0,0.6924492,0.68990415
44,resnet50,centre,0.5,0.3333333333333333,0.0,0.5,0.0,0.7051719,0.70248
